"","Cruise","Event","Net","Date","Year","ID","Species.Code","Item","Stomach","Prey","Count","Total.Mass.(g)","Prey.Mass.(g)","Prey.Type","Standard.length.(mm)","Period","Comments","a_discovery","b_discovery","weight_discovery_g","log10_PPMR_discovery","Lat","Lon","coordinate.source","SST","temp_depth","CHL","ID_unique","fish_mass_log10","location_group"
"2886","JR161",136,2,"2006-11-09",2006,49,"GYR",1,NA,"Pleuromamma robusta",2,0.031,0.0155,NA,78,"Night",NA,4.57573141795611e-06,3.11108279890465,3.52308804775124,2.3565917988783,-59.5633,-44.26847,"cruise report",-1.54875940158963,0.553062551468611,0.283463891347249,"JR161_136_GYR_49",0.546923497048595,4
"2887","JR161",214,2,"2006-11-21",2006,93,"PRE",1,NA,"Thysanoessa spp",3,0.015,0.005,NA,47,"Night",NA,1.38590959090681e-05,2.93843325689031,1.13522737384077,2.35611285042194,-55.24562,-41.15184,"cruise report",1.6879360511899,2.03533434793353,0.170823061466217,"JR161_214_PRE_93",0.0550828547579631,6
"2888","JR161",214,2,"2006-11-21",2006,94,"PRE",1,NA,"Euphausiid indet",1,0.005,0.005,NA,47,"Night",NA,1.38590959090681e-05,2.93843325689031,1.13522737384077,2.35611285042194,-55.24562,-41.15184,"cruise report",1.6879360511899,2.03533434793353,0.170823061466217,"JR161_214_PRE_94",0.0550828547579631,6
"2889","JR161",283,2,"2006-11-28",2006,58,"KRA",1,NA,"Rhincalanus gigas",12,0.026,0.00216666666666667,NA,37,"Day",NA,9.04580928796673e-06,3.01806749596662,0.489086953231024,2.35359397591476,-49.99484,-37.98122,"cruise report",3.3937009960413,2.07903685346246,0.319176879525185,"JR161_283_KRA_58",-0.310613922162047,8
"2890","JR161",253,2,"2006-11-25",2006,5,"GYR",1,NA,"Euphausiid indet",1,0.027,0.027,NA,93,"Night","very digested",4.57573141795611e-06,3.11108279890465,6.089392470672,2.35321020174218,-53.03058,-40.51789,"cruise report",1.38421584516764,1.39444564953446,0.357628992199898,"JR161_253_GYR_5",0.784573965901168,7
"2891","JR161",283,2,"2006-11-28",2006,56,"KRA",4,NA,"Pleuromamma robusta",1,0.002,0.002,NA,36,"Day",NA,9.04580928796673e-06,3.01806749596662,0.450270421398472,2.35244342310587,-49.99484,-37.98122,"cruise report",3.3937009960413,2.07903685346246,0.319176879525185,"JR161_283_KRA_56",-0.346526581230144,8
"2892","JR161",283,2,"2006-11-28",2006,56,"KRA",5,NA,"Calanus simillimus",1,0.002,0.002,NA,36,"Day",NA,9.04580928796673e-06,3.01806749596662,0.450270421398472,2.35244342310587,-49.99484,-37.98122,"cruise report",3.3937009960413,2.07903685346246,0.319176879525185,"JR161_283_KRA_56",-0.346526581230144,8
"2893","JR161",267,1,"2006-11-26",2006,44,"GYR",2,NA,"Themisto gaudichaudii",1,0.042,0.042,NA,107,"Day",NA,4.57573141795611e-06,3.11108279890465,9.41979578880344,2.35079219745261,-52.8061,-40.00328,"cruise report",1.53429366722703,1.33252969756722,0.326310115059217,"JR161_267_GYR_44",0.974041487850507,7
"2894","JR161",267,1,"2006-11-26",2006,40,"GYR",2,NA,"Rhincalanus gigas",1,0.007,0.007,NA,60,"Day",NA,4.57573141795611e-06,3.11108279890465,1.55752954512184,2.347338253623,-52.8061,-40.00328,"cruise report",1.53429366722703,1.33252969756722,0.326310115059217,"JR161_267_GYR_40",0.192436293637262,7
"2895","JR161",283,1,"2006-11-28",2006,37,"KRA",4,NA,"Thysanoessa spp",2,0.023,0.0115,NA,64,"Day",NA,9.04580928796673e-06,3.01806749596662,2.55635108379839,2.34692265830554,-49.99484,-37.98122,"cruise report",3.3937009960413,2.07903685346246,0.319176879525185,"JR161_283_KRA_37",0.407620498659147,8
