"","Cruise","Event","Year","Fish_Species_Code","Prey","Prey_Count","Mean_Prey_Mass__g_","Fish_Mass_g_","Lat","Lon","SST","location_group","fish_mass_log10","log_10_fish_class_bin","Statistical.Fish.ID.mass","Statistical_Fish_ID_mass","n_prey_items","ID_Pred_new"
"901","JR161",214,2006,"ELC","Rhincalanus gigas",1,0.005,7.13992091443283,-55.24562,-41.15184,1.6879360511899,6,0.853693401325805,0.875,"ELC_6_0.875g","ELC_6_0.875g",116,15
"902","JR161",267,2006,"GYR","Ostracoda indet",1,0.003,4.27436266378412,-52.8061,-40.00328,1.53429366722703,7,0.630871367663866,0.625,"GYR_7_0.625g","GYR_7_0.625g",10,96
"903","JR161",201,2006,"ELC","Rhincalanus gigas",3,0.00467,6.64065467688996,-55.2144,-41.56429,1.52443008497357,6,0.822210896919996,0.825,"ELC_6_0.825g","ELC_6_0.825g",155,14
"904","JR161",217,2006,"KRA","Rhincalanus gigas",49,0.00141,1.99985415107186,-55.148,-41.24559,1.86213570311666,6,0.3009983238168,0.325,"KRA_6_0.325g","KRA_6_0.325g",12,120
"907","JR161",275,2006,"PRM","Candacia spp",1,0.002,2.82681075001867,-50.10324,-38.12951,3.62510454207659,8,0.451296734215104,0.475,"PRM_8_0.475g","PRM_8_0.475g",6,159
"908","JR161",214,2006,"ELC","Paraeuchaeta spp",1,0.0042,5.93554011168211,-55.24562,-41.15184,1.6879360511899,6,0.773460244242665,0.775,"ELC_6_0.775g","ELC_6_0.775g",115,13
"909","JR161",201,2006,"ELC","Rhincalanus gigas",7,0.00471,6.64065467688996,-55.2144,-41.56429,1.52443008497357,6,0.822210896919996,0.825,"ELC_6_0.825g","ELC_6_0.825g",155,14
"910","JR161",134,2006,"ELN","Pteropoda indet",20,0.0041,5.76426508790454,-59.65979,-44.04981,-1.60779440626502,4,0.760743945002274,0.775,"ELN_4_0.775g","ELN_4_0.775g",8,39
"911","JR161",214,2006,"ELC","Rhincalanus gigas",6,0.00491,6.88732432596426,-55.24562,-41.15184,1.6879360511899,6,0.838050534511407,0.825,"ELC_6_0.825g","ELC_6_0.825g",155,14
"912","JR161",201,2006,"ELC","Paraeuchaeta spp",3,0.00333,4.6763088503302,-55.2144,-41.56429,1.52443008497357,6,0.669903186742288,0.675,"ELC_6_0.675g","ELC_6_0.675g",41,11
"913","JR161",43,2006,"PRM","Rhincalanus gigas",14,0.00143,2.00294643382266,-57.53066,-50.50526,-0.642872381955385,1,0.301669334812144,0.325,"PRM_1_0.325g","PRM_1_0.325g",14,142
"914","JR161",275,2006,"PRM","Rhincalanus gigas",12,0.00158,2.21962668919746,-50.10324,-38.12951,3.62510454207659,8,0.346279938209842,0.325,"PRM_8_0.325g","PRM_8_0.325g",14,157
"915","JR161",136,2006,"GYR","Salp",1,0.005,6.94179673083606,-59.5633,-44.26847,-1.54875940158963,4,0.841471892543588,0.825,"GYR_4_0.825g","GYR_4_0.825g",7,90
"917","JR161",201,2006,"ELC","Pteropoda indet",8,0.00338,4.6763088503302,-55.2144,-41.56429,1.52443008497357,6,0.669903186742288,0.675,"ELC_6_0.675g","ELC_6_0.675g",41,11
"919","JR161",201,2006,"ELC","Rhincalanus gigas",24,0.00446,6.1648293805574,-55.2144,-41.56429,1.52443008497357,6,0.789921061449543,0.775,"ELC_6_0.775g","ELC_6_0.775g",115,13
"920","JR161",43,2006,"ELC","Rhincalanus gigas",1,0.005,6.88732432596426,-57.53066,-50.50526,-0.642872381955385,1,0.838050534511407,0.825,"ELC_1_0.825g","ELC_1_0.825g",8,3
"921","JR161",43,2006,"ELC","Rhincalanus gigas",1,0.005,6.88732432596426,-57.53066,-50.50526,-0.642872381955385,1,0.838050534511407,0.825,"ELC_1_0.825g","ELC_1_0.825g",8,3
"922","JR161",201,2006,"ELC","Rhincalanus gigas",2,0.005,6.88732432596426,-55.2144,-41.56429,1.52443008497357,6,0.838050534511407,0.825,"ELC_6_0.825g","ELC_6_0.825g",155,14
"923","JR161",253,2006,"GYR","Calanus simillimus",1,0.003,4.11617547934219,-53.03058,-40.51789,1.38421584516764,7,0.614493881174337,0.625,"GYR_7_0.625g","GYR_7_0.625g",10,96
"924","JR161",265,2006,"GYF","Calanoides acutus",1,0.002,2.74023124529857,-52.90536,-40.4035,1.45501878708601,7,0.437787214031879,0.425,"GYF_7_0.425g","GYF_7_0.425g",8,57
"925","JR161",265,2006,"GYF","Rhincalanus gigas",2,0.002,2.74023124529857,-52.90536,-40.4035,1.45501878708601,7,0.437787214031879,0.425,"GYF_7_0.425g","GYF_7_0.425g",8,57
"927","JR161",214,2006,"ELC","Rhincalanus gigas",31,0.00387,5.28136225847233,-55.24562,-41.15184,1.6879360511899,6,0.722745957577448,0.725,"ELC_6_0.725g","ELC_6_0.725g",75,12
"928","JR161",214,2006,"PRE","Themisto gaudichaudii",6,0.000833,1.13522737384077,-55.24562,-41.15184,1.6879360511899,6,0.0550828547579631,0.075,"PRE_6_0.075g","PRE_6_0.075g",18,139
"930","JR161",214,2006,"PRE","Metridia spp",1,0.001,1.36158532948853,-55.24562,-41.15184,1.6879360511899,6,0.134044863424634,0.125,"PRE_6_0.125g","PRE_6_0.125g",6,140
"932","JR161",214,2006,"ELC","Rhincalanus gigas",6,0.00453,6.1648293805574,-55.24562,-41.15184,1.6879360511899,6,0.789921061449543,0.775,"ELC_6_0.775g","ELC_6_0.775g",115,13
