"","Fish_no","zoo_mean","zoo_sd","fish_mean","fish_sd","pref_mean","pref_sd","sst_mean","species","fish_size_class"
"34",34,-4.3018634905071,0.434127199945491,-2.65633812903782,0.478824678540191,-2.32832203428262,0.558624673684609,-1.55466290205717,"ELN",0.175
"35",35,-4.3018634905071,0.434127199945491,-2.72735928301734,0.278528471794845,-2.63554493705686,0.274138966092595,-1.54875940158963,"ELN",0.225
"36",36,-4.3018634905071,0.434127199945491,-2.49632688685027,0.541933281212753,-2.18785090841272,0.473941774798497,-1.56646990299225,"ELN",0.375
"37",37,-4.3018634905071,0.434127199945491,-2.77617792095956,0.569810758558442,-2.125867834113,0.73292405837343,-1.55367898531258,"ELN",0.475
"38",38,-4.3018634905071,0.434127199945491,-2.67924978793834,0.535318256695015,-2.21863435160141,0.638757625200629,-1.55859856903553,"ELN",0.525
"39",39,-4.3018634905071,0.434127199945491,-2.26668060014376,0.392939509298102,-1.31699158581534,0.85442061794168,-1.59303565509617,"ELN",0.775
"40",40,-4.32827622108381,0.382256839328699,-2.41653949730564,0.555926873942456,-1.8078002073279,0.532996504959692,-0.879714326374233,"ELN",0.875
"41",41,-4.32139380550386,0.410798100739766,-3.13801425210695,0.179191465450779,-3.05152065674532,0.259152371866534,3.58303085299475,"GYF",0.275
"42",42,-4.32139380550386,0.410798100739766,-3.0849070979125,0.245967554034475,-2.83084475837816,0.513906803117915,3.60678529813886,"GYF",0.325
"43",43,-4.32139380550386,0.410798100739766,-2.91165329512685,0.139928935680795,-2.8769764873563,0.151139105703141,3.62757043763995,"GYF",0.475
"44",44,-4.32139380550386,0.410798100739766,-2.82396661913482,0.361981941064244,-2.58943489925848,0.372792575728275,3.56521501913667,"GYF",0.525
"45",45,-4.20007734971729,0.478351405161129,-2.85526086690601,0.513722421709867,-1.94642774423666,0.649855723182341,4.16722313649952,"GYF",0.225
"46",46,-4.20007734971729,0.478351405161129,-2.95292020245703,0.32987316107131,-2.10951206677694,0.788157626304933,4.18649862706661,"GYF",0.275
"47",47,-4.20007734971729,0.478351405161129,-3.02907863478111,0.228724609930353,-2.8826102731887,0.368810116292213,4.1657404064559,"GYF",0.325
"48",48,-4.20007734971729,0.478351405161129,-2.90273109370204,0.17404037283534,-2.84753739479485,0.209593184267477,4.17548406102828,"GYF",0.475
"49",49,-4.20007734971729,0.478351405161129,-3.2335255743058,0.383003388714908,-1.81385679061675,1.05658316532852,4.18649862706661,"GYF",0.575
"50",50,-4.20007734971729,0.478351405161129,-3.03396658085936,0.231774221506513,-2.7776861453756,0.527784407564439,4.17686088178307,"GYF",0.675
"51",51,-4.20007734971729,0.478351405161129,-3.00099489957076,0.424039200181922,-1.77966635451048,0.794553189948998,4.17364830002189,"GYF",0.725
"52",52,-3.80299922409094,0.704999623113153,-3.0086766529018,0.333601335299122,-2.91327746306281,0.388222431362139,7.50166327133775,"GYF",-0.125
"53",53,-3.96886783995246,0.5397961872479,-2.51975530614442,0.465740630004632,-2.23224362607857,0.416218451818119,5.30188911035657,"GYF",0.375
"54",54,-3.96886783995246,0.5397961872479,-2.75838905632291,0.282631019072625,-2.64333978870353,0.306990293554828,5.36219368502498,"GYF",0.425
"55",55,-3.96886783995246,0.5397961872479,-3.10332010866456,0.374167069201518,-2.38602459903283,0.901448868771938,5.38187201991677,"GYF",0.525
"56",56,-4.25678274689645,0.531239644592783,-2.79578331331631,0.278212797414217,-2.64792672454066,0.372192807247954,1.6879360511899,"GYF",0.475
"57",57,-4.08110870964042,0.579726090992902,-2.83613763130912,0.460011160718708,-2.4492487416112,0.571330754442875,1.45501878708601,"GYF",0.425
"58",58,-4.08110870964042,0.579726090992902,-2.88435728631353,0.354290815629244,-2.65095924985697,0.468786418036033,1.45501878708601,"GYF",0.575
"59",59,-4.14361185245566,0.618466442149526,-2.86254452767297,0.142800492160175,-2.84137298006726,0.138881509524651,3.62510454207659,"GYF",0.725
"60",60,-4.14361185245566,0.618466442149526,-3.06744951989305,0.5004705122526,-2.74001949644409,0.575169946978558,3.54797002673149,"GYF",0.875
"61",61,-4.1932624216533,0.492397653566805,-2.76764985684989,0.485806930729809,-1.78995831401506,0.693952843806819,3.30549029633403,"GYN",1.375
"62",62,-4.20007734971729,0.478351405161129,-2.09468094860472,0.721648869598523,-1.46805948398958,0.273986064034478,4.18649862706661,"GYN",1.175
"63",63,-3.86826064521053,0.709214872664205,-3.35530040400981,0.379971566922886,-3.1827050769972,0.563167222663483,4.3965392164886,"GYN",1.125
"64",64,-3.96886783995246,0.5397961872479,-2.78444335318835,0.770410184771636,-0.83182067165297,0.498366867142421,5.4104373447597,"GYN",1.275
"65",65,-4.3018634905071,0.434127199945491,-2.7831616492938,1.09359034272049,-0.491332872302189,0.396607649677852,-1.54875940158963,"GYN",1.575
"66",66,-4.32827622108381,0.382256839328699,-2.71271329658011,0.783745886320931,-1.83212236230864,0.440195145178297,-0.866804996877909,"GYN",1.175
"67",67,-4.32827622108381,0.382256839328699,-2.83662382559788,0.41546785866428,-1.82232851943939,0.846194118887167,-0.866804996877909,"GYN",1.375
"68",68,-4.32827622108381,0.382256839328699,-2.58109677387623,0.536084563890271,-2.15731709761695,0.398435674577898,-0.866804996877909,"GYN",1.575
